,Mean,Lower_ci,Upper_ci,Date,City
7814,131831.38381798918,125847.03114090598,137815.73649507237,2022-04,"Amsterdam, NY"
7815,132279.14733240468,125912.97095614424,138645.32370866512,2022-05,"Amsterdam, NY"
7816,132721.74700746432,125971.55016353492,139471.9438513937,2022-06,"Amsterdam, NY"
7817,133159.31550434278,126023.1210786546,140295.50993003097,2022-07,"Amsterdam, NY"
7818,133591.98207609417,126068.02681335373,141115.9373388346,2022-08,"Amsterdam, NY"
7819,134019.87265520805,126106.59969757586,141933.14561284025,2022-09,"Amsterdam, NY"
7820,134443.10993891605,126139.16038418314,142747.05949364897,2022-10,"Amsterdam, NY"
7821,134861.8134723071,126166.01741314588,143557.60953146836,2022-11,"Amsterdam, NY"
7822,135276.09972930717,126187.46708533088,144364.73237328345,2022-12,"Amsterdam, NY"
7823,135686.08219157872,126203.79354430921,145168.37083884823,2023-01,"Amsterdam, NY"
7824,156270.937796242,155418.06847148703,157123.807120997,2021-02,"Sidney, OH"
7825,157079.10468320546,155800.1507837149,158358.05858269602,2021-03,"Sidney, OH"
7826,157877.58854068455,156222.04975074567,159533.12733062342,2021-04,"Sidney, OH"
7827,158666.5859765083,156652.30269011977,160680.86926289683,2021-05,"Sidney, OH"
7828,159446.28960650737,157080.07889090184,161812.5003221129,2021-06,"Sidney, OH"
7829,160216.88813556894,157500.5849063071,162933.19136483077,2021-07,"Sidney, OH"
7830,160978.56643704607,157911.46925256436,164045.66362152778,2021-08,"Sidney, OH"
7831,161731.50563055457,158311.5502436568,165151.46101745236,2021-09,"Sidney, OH"
7832,162475.88315819026,158700.26776485212,166251.4985515284,2021-10,"Sidney, OH"
7833,163211.8728591987,159077.41510690967,167346.3306114877,2021-11,"Sidney, OH"
7834,163939.64504312875,159442.99565901185,168436.29442724565,2021-12,"Sidney, OH"
7835,164659.36656150097,159797.14119236692,169521.591930635,2022-01,"Sidney, OH"
7836,165371.20087802064,160140.06292115638,170602.3388348849,2022-02,"Sidney, OH"
7837,166075.30813736518,160472.02106643555,171678.5952082948,2022-03,"Sidney, OH"
7838,166771.845232575,160793.3053672849,172750.3850978651,2022-04,"Sidney, OH"
7839,167460.9658710759,161104.22232038114,173817.70942177065,2022-05,"Sidney, OH"
7840,168142.820639361,161405.0866865116,174880.55459221036,2022-06,"Sidney, OH"
7841,168817.55706635927,161696.21577417743,175938.8983585411,2022-07,"Sidney, OH"
7842,169485.31968551755,161977.92557009234,176992.71380094276,2022-08,"Sidney, OH"
